longitude	latitude
4.733	44.581
4.733	44.581
1.891	47.941
1.891	47.941
2.384	48.716
2.384	48.716
2.885	42.701
2.885	42.701
0.314	46.593
0.314	46.593
4.903	48.631
4.903	48.631
6.75	43.416
6.75	43.416
1.371	43.54
1.371	43.54
1.483	43.566
1.483	43.566
0.7	47.433
0.7	47.433
55.528	-20.892
55.528	-20.892
55.431	-20.884
55.431	-20.884
55.487	-21.344
55.487	-21.344
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.25	55.93
37.25	55.93
37.25	55.93
37.25	55.93
37.25	55.93
37.25	55.93
37.25	55.93
37.25	55.93
37.25	55.93
37.42	55.73
37.42	55.73
37.42	55.73
37.42	55.73
37.42	55.73
37.42	55.73
37.42	55.73
37.42	55.73
37.42	55.73
37.42	55.73
37.42	55.73
37.42	55.73
37.42	55.73
37.42	55.73
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
37.52	55.93
125.37	58.62
125.37	58.62
125.37	58.62
125.37	58.62
125.37	58.62
125.37	58.62
125.37	58.62
125.37	58.62
61.7	69.75
